rank,code,name,price,change_pct,source,collect_time
1,002185.SZ,华天科技,21.49,6.65,东方财富,2026-05-28 18:22:39
2,000636.SZ,风华高科,48.64,10.0,东方财富,2026-05-28 18:22:39
3,000063.SZ,中兴通讯,38.3,9.99,东方财富,2026-05-28 18:22:39
4,002579.SZ,中京电子,18.19,9.98,东方财富,2026-05-28 18:22:39
5,603601.SH,再升科技,23.53,10.0,东方财富,2026-05-28 18:22:39
6,600584.SH,长电科技,84.74,-1.65,东方财富,2026-05-28 18:22:39
7,601138.SH,工业富联,75.0,7.02,东方财富,2026-05-28 18:22:39
8,002428.SZ,云南锗业,89.85,10.0,东方财富,2026-05-28 18:22:39
9,000725.SZ,京东方Ａ,5.68,-0.7,东方财富,2026-05-28 18:22:39
10,600172.SH,黄河旋风,14.6,10.02,东方财富,2026-05-28 18:22:39
11,600176.SH,中国巨石,43.48,9.99,东方财富,2026-05-28 18:22:39
12,600726.SH,华电能源,9.21,10.04,东方财富,2026-05-28 18:22:39
13,002484.SZ,江海股份,74.07,9.99,东方财富,2026-05-28 18:22:39
14,601991.SH,大唐发电,8.0,3.76,东方财富,2026-05-28 18:22:39
15,600110.SH,诺德股份,11.51,10.04,东方财富,2026-05-28 18:22:39
18,002669.SZ,康达新材,17.57,10.02,东方财富,2026-05-28 18:22:39
19,000539.SZ,粤电力Ａ,8.07,9.95,东方财富,2026-05-28 18:22:39
20,600396.SH,华电辽能,19.26,3.72,东方财富,2026-05-28 18:22:39
21,600330.SH,天通股份,34.33,10.0,东方财富,2026-05-28 18:22:39
22,603678.SH,火炬电子,47.31,10.0,东方财富,2026-05-28 18:22:39
23,603773.SH,沃格光电,109.99,10.0,东方财富,2026-05-28 18:22:39
25,002552.SZ,宝鼎科技,55.58,9.99,东方财富,2026-05-28 18:22:39
26,603011.SH,合锻智能,22.65,10.0,东方财富,2026-05-28 18:22:39
27,603256.SH,宏和科技,197.91,10.0,东方财富,2026-05-28 18:22:39
28,601958.SH,金钼股份,26.85,10.0,东方财富,2026-05-28 18:22:39
29,600206.SH,有研新材,30.94,9.99,东方财富,2026-05-28 18:22:39
32,002636.SZ,金安国纪,53.5,9.99,东方财富,2026-05-28 18:22:39
33,603989.SH,艾华集团,38.42,9.99,东方财富,2026-05-28 18:22:39
34,603005.SH,晶方科技,45.6,6.02,东方财富,2026-05-28 18:22:39
35,600589.SH,大位科技,11.95,10.04,东方财富,2026-05-28 18:22:39
36,002156.SZ,通富微电,69.3,-3.0,东方财富,2026-05-28 18:22:39
37,603267.SH,鸿远电子,70.06,10.0,东方财富,2026-05-28 18:22:39
38,000509.SZ,华塑控股,5.73,9.98,东方财富,2026-05-28 18:22:39
39,002859.SZ,洁美科技,69.82,10.0,东方财富,2026-05-28 18:22:39
40,600460.SH,士兰微,38.44,8.04,东方财富,2026-05-28 18:22:39
41,603986.SH,兆易创新,483.0,-6.06,东方财富,2026-05-28 18:22:39
42,600063.SH,皖维高新,6.95,9.97,东方财富,2026-05-28 18:22:39
43,600367.SH,红星发展,33.22,10.0,东方财富,2026-05-28 18:22:39
44,600360.SH,华微电子,12.28,10.04,东方财富,2026-05-28 18:22:39
45,000021.SZ,深科技,42.65,-3.02,东方财富,2026-05-28 18:22:39
46,002281.SZ,光迅科技,214.9,6.02,东方财富,2026-05-28 18:22:39
47,600237.SH,铜峰电子,10.92,9.97,东方财富,2026-05-28 18:22:39
48,002613.SZ,北玻股份,4.92,10.07,东方财富,2026-05-28 18:22:39
50,002639.SZ,雪人集团,16.54,9.97,东方财富,2026-05-28 18:22:39
52,000600.SZ,建投能源,12.1,10.0,东方财富,2026-05-28 18:22:39
53,002056.SZ,横店东磁,26.97,9.99,东方财富,2026-05-28 18:22:39
54,600459.SH,贵研铂业,22.5,10.02,东方财富,2026-05-28 18:22:39
55,603629.SH,利通电子,220.03,2.78,东方财富,2026-05-28 18:22:39
56,605376.SH,博迁新材,182.45,10.0,东方财富,2026-05-28 18:22:39
58,002463.SZ,沪电股份,133.06,3.72,东方财富,2026-05-28 18:22:39
59,002263.SZ,大东南,3.93,10.08,东方财富,2026-05-28 18:22:39
60,600522.SH,中天科技,40.52,3.76,东方财富,2026-05-28 18:22:39
61,605580.SH,恒盛能源,28.18,9.99,东方财富,2026-05-28 18:22:39
62,002350.SZ,北京科锐,17.18,9.99,东方财富,2026-05-28 18:22:39
63,000988.SZ,华工科技,165.63,3.6,东方财富,2026-05-28 18:22:39
64,002585.SZ,双星新材,11.39,5.95,东方财富,2026-05-28 18:22:39
65,600032.SH,浙江新能,10.4,10.05,东方财富,2026-05-28 18:22:39
66,603032.SH,德新科技,27.69,10.01,东方财富,2026-05-28 18:22:39
