rank,code,name,price,change_pct,source,collect_time
3,600895.SH,张江高科,31.04,9.99,东方财富,2026-07-28 16:55:58
4,001309.SZ,德明利,361.44,-10.0,东方财富,2026-07-28 16:55:58
5,002195.SZ,岩山科技,6.83,9.98,东方财富,2026-07-28 16:55:58
6,002173.SZ,创新医疗,22.76,10.0,东方财富,2026-07-28 16:55:58
7,000938.SZ,紫光股份,41.48,0.02,东方财富,2026-07-28 16:55:58
8,603986.SH,兆易创新,390.63,-10.0,东方财富,2026-07-28 16:55:58
9,600667.SH,太极实业,18.37,2.51,东方财富,2026-07-28 16:55:58
10,001258.SZ,立新能源,12.9,-9.98,东方财富,2026-07-28 16:55:58
11,000725.SZ,京东方Ａ,5.58,-6.53,东方财富,2026-07-28 16:55:58
13,002407.SZ,多氟多,34.2,1.88,东方财富,2026-07-28 16:55:58
14,600396.SH,华电辽能,16.58,5.74,东方财富,2026-07-28 16:55:58
15,000533.SZ,顺钠股份,11.56,9.99,东方财富,2026-07-28 16:55:58
16,000566.SZ,海南海药,5.83,10.0,东方财富,2026-07-28 16:55:58
17,600756.SH,浪潮软件,15.39,10.01,东方财富,2026-07-28 16:55:58
18,002309.SZ,中利集团,3.37,10.13,东方财富,2026-07-28 16:55:58
19,600775.SH,南京熊猫,10.35,9.99,东方财富,2026-07-28 16:55:58
20,600199.SH,金种子酒,7.47,10.01,东方财富,2026-07-28 16:55:58
21,603716.SH,塞力医疗,16.43,9.97,东方财富,2026-07-28 16:55:58
22,603118.SH,共进股份,17.31,6.85,东方财富,2026-07-28 16:55:58
23,002310.SZ,东方新能,2.65,9.96,东方财富,2026-07-28 16:55:58
24,600519.SH,贵州茅台,1320.0,2.37,东方财富,2026-07-28 16:55:58
26,002156.SZ,通富微电,69.0,-10.0,东方财富,2026-07-28 16:55:58
27,002212.SZ,天融信,6.0,10.09,东方财富,2026-07-28 16:55:58
28,002279.SZ,久其软件,6.47,10.03,东方财富,2026-07-28 16:55:58
29,600619.SH,海立股份,13.66,9.98,东方财富,2026-07-28 16:55:58
30,002969.SZ,嘉美包装,12.61,10.03,东方财富,2026-07-28 16:55:58
31,603928.SH,兴业股份,12.28,10.04,东方财富,2026-07-28 16:55:58
32,600850.SH,电科数字,15.28,10.01,东方财富,2026-07-28 16:55:58
33,603580.SH,艾艾精工,52.7,10.0,东方财富,2026-07-28 16:55:58
34,000859.SZ,国风新材,8.44,10.04,东方财富,2026-07-28 16:55:58
35,600487.SH,亨通光电,50.01,-9.97,东方财富,2026-07-28 16:55:58
36,605179.SH,一鸣食品,14.55,9.98,东方财富,2026-07-28 16:55:58
39,600693.SH,东百集团,8.61,9.96,东方财富,2026-07-28 16:55:58
40,000948.SZ,南天信息,14.07,10.01,东方财富,2026-07-28 16:55:58
42,600584.SH,长电科技,76.83,-6.7,东方财富,2026-07-28 16:55:58
43,002388.SZ,新亚制程,5.28,10.0,东方财富,2026-07-28 16:55:58
44,002384.SZ,东山精密,190.71,-10.0,东方财富,2026-07-28 16:55:58
46,603690.SH,至纯科技,26.0,4.5,东方财富,2026-07-28 16:55:58
47,000021.SZ,深科技,39.56,-9.99,东方财富,2026-07-28 16:55:58
48,605162.SH,新中港,9.23,10.01,东方财富,2026-07-28 16:55:58
49,002185.SZ,华天科技,17.47,-6.02,东方财富,2026-07-28 16:55:58
50,603918.SH,金桥信息,10.42,10.03,东方财富,2026-07-28 16:55:58
51,601606.SH,长城军工,33.55,-4.85,东方财富,2026-07-28 16:55:58
52,600664.SH,哈药股份,5.74,1.77,东方财富,2026-07-28 16:55:58
53,002889.SZ,东方嘉盛,12.34,9.98,东方财富,2026-07-28 16:55:58
54,000779.SZ,甘咨询,11.67,9.99,东方财富,2026-07-28 16:55:58
55,603980.SH,吉华集团,6.5,9.98,东方财富,2026-07-28 16:55:58
56,603232.SH,格尔软件,15.13,10.04,东方财富,2026-07-28 16:55:58
57,603221.SH,爱丽家居,16.94,10.0,东方财富,2026-07-28 16:55:58
58,002338.SZ,奥普光电,43.22,10.0,东方财富,2026-07-28 16:55:58
59,002642.SZ,荣联科技,7.26,10.0,东方财富,2026-07-28 16:55:58
60,000503.SZ,国新健康,7.17,9.97,东方财富,2026-07-28 16:55:58
62,003032.SZ,传智教育,6.62,9.97,东方财富,2026-07-28 16:55:58
63,002847.SZ,盐津铺子,50.99,10.01,东方财富,2026-07-28 16:55:58
64,001376.SZ,百通能源,11.15,9.96,东方财富,2026-07-28 16:55:58
65,603297.SH,永新光学,101.66,10.0,东方财富,2026-07-28 16:55:58
66,001248.SZ,华润新能,14.27,2.15,东方财富,2026-07-28 16:55:58
67,000428.SZ,华天酒店,3.67,9.88,东方财富,2026-07-28 16:55:58
68,001358.SZ,兴欣新材,24.53,10.0,东方财富,2026-07-28 16:55:58
69,605068.SH,明新旭腾,17.02,10.02,东方财富,2026-07-28 16:55:58
70,601288.SH,农业银行,6.96,3.57,东方财富,2026-07-28 16:55:58
71,601398.SH,工商银行,7.97,3.1,东方财富,2026-07-28 16:55:58
72,000676.SZ,智度股份,7.45,4.63,东方财富,2026-07-28 16:55:58
73,603400.SH,华之杰,42.85,10.01,东方财富,2026-07-28 16:55:58
74,600629.SH,华建集团,13.43,9.99,东方财富,2026-07-28 16:55:58
75,600303.SH,曙光股份,2.71,10.16,东方财富,2026-07-28 16:55:58
76,002995.SZ,天地在线,16.97,9.98,东方财富,2026-07-28 16:55:58
77,000045.SZ,深纺织Ａ,9.96,10.06,东方财富,2026-07-28 16:55:58
