rank,code,name,price,change_pct,source,collect_time
1,600584.SH,长电科技,80.17,10.0,东方财富,2026-05-25 17:18:49
2,002185.SZ,华天科技,16.97,9.98,东方财富,2026-05-25 17:18:49
3,002156.SZ,通富微电,69.78,9.99,东方财富,2026-05-25 17:18:49
5,000725.SZ,京东方Ａ,5.27,2.13,东方财富,2026-05-25 17:18:49
6,603005.SH,晶方科技,43.05,9.99,东方财富,2026-05-25 17:18:49
7,603986.SH,兆易创新,515.6,10.0,东方财富,2026-05-25 17:18:49
8,002421.SZ,达实智能,4.8,10.09,东方财富,2026-05-25 17:18:49
9,000988.SZ,华工科技,171.94,10.0,东方财富,2026-05-25 17:18:49
10,601991.SH,大唐发电,7.4,7.4,东方财富,2026-05-25 17:18:49
11,000636.SZ,风华高科,41.38,9.99,东方财富,2026-05-25 17:18:49
13,600578.SH,京能电力,9.04,9.98,东方财富,2026-05-25 17:18:49
14,000021.SZ,深科技,41.15,9.06,东方财富,2026-05-25 17:18:49
15,600396.SH,华电辽能,16.02,10.03,东方财富,2026-05-25 17:18:49
16,002585.SZ,双星新材,9.88,10.02,东方财富,2026-05-25 17:18:49
19,600186.SH,莲花控股,12.93,10.04,东方财富,2026-05-25 17:18:49
20,002938.SZ,鹏鼎控股,114.32,10.0,东方财富,2026-05-25 17:18:49
22,000518.SZ,四环生物,4.54,9.93,东方财富,2026-05-25 17:18:49
23,002409.SZ,雅克科技,128.15,10.0,东方财富,2026-05-25 17:18:49
24,002407.SZ,多氟多,38.43,-10.0,东方财富,2026-05-25 17:18:49
25,600863.SH,华能蒙电,5.93,10.02,东方财富,2026-05-25 17:18:49
26,002297.SZ,博云新材,29.24,10.01,东方财富,2026-05-25 17:18:49
27,600172.SH,黄河旋风,12.09,10.01,东方财富,2026-05-25 17:18:49
28,603256.SH,宏和科技,175.31,10.0,东方财富,2026-05-25 17:18:49
29,600726.SH,华电能源,6.92,10.02,东方财富,2026-05-25 17:18:49
30,605111.SH,新洁能,63.22,10.01,东方财富,2026-05-25 17:18:49
31,601138.SH,工业富联,70.3,4.68,东方财富,2026-05-25 17:18:49
33,600520.SH,三佳科技,33.47,9.99,东方财富,2026-05-25 17:18:49
34,603083.SH,剑桥科技,209.0,10.0,东方财富,2026-05-25 17:18:49
35,002741.SZ,光华科技,27.9,10.02,东方财富,2026-05-25 17:18:49
36,603936.SH,博敏电子,24.85,10.0,东方财富,2026-05-25 17:18:49
37,002056.SZ,横店东磁,22.41,10.01,东方财富,2026-05-25 17:18:49
38,002463.SZ,沪电股份,122.54,7.43,东方财富,2026-05-25 17:18:49
40,603203.SH,快克智能,66.55,10.0,东方财富,2026-05-25 17:18:49
42,002436.SZ,兴森科技,38.12,7.62,东方财富,2026-05-25 17:18:49
43,600637.SH,东方明珠,11.44,10.0,东方财富,2026-05-25 17:18:49
44,002613.SZ,北玻股份,4.59,10.07,东方财富,2026-05-25 17:18:49
45,000966.SZ,长源电力,5.21,9.92,东方财富,2026-05-25 17:18:49
47,002745.SZ,木林森,10.82,9.96,东方财富,2026-05-25 17:18:49
48,600310.SH,广西能源,5.61,10.0,东方财富,2026-05-25 17:18:49
49,000564.SZ,供销大集,1.8,9.76,东方财富,2026-05-25 17:18:49
50,002552.SZ,宝鼎科技,43.8,9.99,东方财富,2026-05-25 17:18:49
51,605580.SH,恒盛能源,24.31,10.0,东方财富,2026-05-25 17:18:49
52,002281.SZ,光迅科技,223.98,3.76,东方财富,2026-05-25 17:18:49
53,600522.SH,中天科技,42.89,-2.12,东方财富,2026-05-25 17:18:49
54,002851.SZ,麦格米特,132.36,10.0,东方财富,2026-05-25 17:18:49
55,601608.SH,中信重工,6.24,10.05,东方财富,2026-05-25 17:18:49
56,600376.SH,首开股份,4.77,9.91,东方财富,2026-05-25 17:18:49
58,002050.SZ,三花智控,53.91,-0.26,东方财富,2026-05-25 17:18:49
59,002388.SZ,新亚制程,5.85,9.96,东方财富,2026-05-25 17:18:49
60,002432.SZ,九安医疗,87.86,10.0,东方财富,2026-05-25 17:18:49
61,002975.SZ,博杰股份,133.71,10.0,东方财富,2026-05-25 17:18:49
62,002371.SZ,北方华创,698.19,4.36,东方财富,2026-05-25 17:18:49
65,002012.SZ,凯恩股份,8.6,9.97,东方财富,2026-05-25 17:18:49
66,002693.SZ,双成药业,11.61,10.05,东方财富,2026-05-25 17:18:49
67,002980.SZ,华盛昌,128.02,10.0,东方财富,2026-05-25 17:18:49
68,002051.SZ,中工国际,11.72,10.05,东方财富,2026-05-25 17:18:49
70,000875.SZ,电投绿能,6.86,9.94,东方财富,2026-05-25 17:18:49
71,603990.SH,麦迪科技,18.57,10.01,东方财富,2026-05-25 17:18:49
72,600183.SH,生益科技,116.52,7.88,东方财富,2026-05-25 17:18:49
76,002526.SZ,山东矿机,3.4,10.03,东方财富,2026-05-25 17:18:49
77,002049.SZ,紫光国微,85.02,6.63,东方财富,2026-05-25 17:18:49
78,603629.SH,利通电子,202.0,3.25,东方财富,2026-05-25 17:18:49
80,002442.SZ,龙星科技,7.85,-3.21,东方财富,2026-05-25 17:18:49
82,000409.SZ,云鼎科技,10.51,10.05,东方财富,2026-05-25 17:18:49
83,600611.SH,大众交通,6.14,0.16,东方财富,2026-05-25 17:18:49
84,000980.SZ,众泰汽车,2.84,10.08,东方财富,2026-05-25 17:18:49
85,002957.SZ,科瑞技术,48.02,10.01,东方财富,2026-05-25 17:18:49
86,600519.SH,贵州茅台,1285.88,-0.33,东方财富,2026-05-25 17:18:49
88,600592.SH,龙溪股份,21.26,9.98,东方财富,2026-05-25 17:18:49
89,600460.SH,士兰微,34.19,6.31,东方财富,2026-05-25 17:18:49
90,002709.SZ,天赐材料,53.07,-8.63,东方财富,2026-05-25 17:18:49
91,002645.SZ,华宏科技,31.97,10.01,东方财富,2026-05-25 17:18:49
92,603601.SH,再升科技,19.27,-0.1,东方财富,2026-05-25 17:18:49
93,600503.SH,华丽家族,2.86,10.0,东方财富,2026-05-25 17:18:49
94,600395.SH,盘江股份,5.67,10.1,东方财富,2026-05-25 17:18:49
95,002897.SZ,意华股份,79.33,10.0,东方财富,2026-05-25 17:18:49
96,603663.SH,三祥新材,55.54,10.0,东方财富,2026-05-25 17:18:49
97,002617.SZ,露笑科技,9.58,4.7,东方财富,2026-05-25 17:18:49
98,600996.SH,贵广网络,9.63,10.06,东方财富,2026-05-25 17:18:49
99,600330.SH,天通股份,31.31,7.01,东方财富,2026-05-25 17:18:49
100,605588.SH,冠石科技,67.64,10.0,东方财富,2026-05-25 17:18:49
