rank,code,name,price,change_pct,source,collect_time
1,000725.SZ,京东方Ａ,6.83,-10.01,东方财富,2026-07-13 17:27:08
2,002185.SZ,华天科技,24.13,-4.66,东方财富,2026-07-13 17:27:08
3,600118.SH,中国卫星,91.26,1.38,东方财富,2026-07-13 17:27:08
4,603986.SH,兆易创新,550.8,-10.0,东方财富,2026-07-13 17:27:08
5,600536.SH,中国软件,32.25,9.99,东方财富,2026-07-13 17:27:08
6,605090.SH,九丰能源,41.78,10.01,东方财富,2026-07-13 17:27:08
7,000938.SZ,紫光股份,38.4,-0.03,东方财富,2026-07-13 17:27:08
8,600584.SH,长电科技,99.05,-2.04,东方财富,2026-07-13 17:27:08
9,002156.SZ,通富微电,73.57,3.69,东方财富,2026-07-13 17:27:08
10,600487.SH,亨通光电,70.01,-10.0,东方财富,2026-07-13 17:27:08
11,600664.SH,哈药股份,3.71,10.09,东方财富,2026-07-13 17:27:08
12,000989.SZ,九芝堂,8.98,10.05,东方财富,2026-07-13 17:27:08
13,601608.SH,中信重工,5.54,9.92,东方财富,2026-07-13 17:27:08
14,003020.SZ,立方制药,20.61,9.98,东方财富,2026-07-13 17:27:08
15,600839.SH,四川长虹,7.38,8.05,东方财富,2026-07-13 17:27:08
16,603137.SH,恒尚节能,29.43,10.02,东方财富,2026-07-13 17:27:08
18,603318.SH,水发燃气,8.55,10.04,东方财富,2026-07-13 17:27:08
19,000977.SZ,浪潮信息,85.49,-4.5,东方财富,2026-07-13 17:27:08
21,600667.SH,太极实业,22.73,-10.02,东方财富,2026-07-13 17:27:08
23,603313.SH,梦百合,7.99,10.06,东方财富,2026-07-13 17:27:08
24,600513.SH,联环药业,17.04,10.01,东方财富,2026-07-13 17:27:08
25,002261.SZ,拓维信息,33.0,2.87,东方财富,2026-07-13 17:27:08
26,600992.SH,贵绳股份,11.72,10.05,东方财富,2026-07-13 17:27:08
27,002342.SZ,巨力索具,9.96,-10.03,东方财富,2026-07-13 17:27:08
29,600129.SH,太极集团,17.94,8.2,东方财富,2026-07-13 17:27:08
30,000021.SZ,深科技,52.12,-10.0,东方财富,2026-07-13 17:27:08
31,000920.SZ,沃顿科技,14.03,10.04,东方财富,2026-07-13 17:27:08
32,002317.SZ,众生药业,31.6,6.97,东方财富,2026-07-13 17:27:08
33,603065.SH,宿迁联盛,21.4,10.03,东方财富,2026-07-13 17:27:08
34,002396.SZ,星网锐捷,28.99,5.53,东方财富,2026-07-13 17:27:08
35,600629.SH,华建集团,14.03,10.04,东方财富,2026-07-13 17:27:08
36,601127.SH,赛力斯,53.91,-10.0,东方财富,2026-07-13 17:27:08
37,002208.SZ,合肥城建,20.88,7.46,东方财富,2026-07-13 17:27:08
38,603538.SH,美诺华,33.0,6.87,东方财富,2026-07-13 17:27:08
39,002407.SZ,多氟多,36.99,-10.0,东方财富,2026-07-13 17:27:08
40,600519.SH,贵州茅台,1210.99,0.5,东方财富,2026-07-13 17:27:08
41,002549.SZ,凯美特气,17.88,9.63,东方财富,2026-07-13 17:27:08
42,600522.SH,中天科技,41.32,-10.0,东方财富,2026-07-13 17:27:08
43,603669.SH,灵康药业,6.8,10.03,东方财富,2026-07-13 17:27:08
44,600671.SH,天目药业,21.13,9.99,东方财富,2026-07-13 17:27:08
45,603933.SH,睿能科技,24.71,10.02,东方财富,2026-07-13 17:27:08
47,001248.SZ,华润新能,13.06,-9.93,东方财富,2026-07-13 17:27:08
49,600436.SH,片仔癀,125.58,7.29,东方财富,2026-07-13 17:27:08
50,603019.SH,中科曙光,106.13,-1.27,东方财富,2026-07-13 17:27:08
51,002379.SZ,宏桥控股,15.9,10.03,东方财富,2026-07-13 17:27:08
53,002490.SZ,山东墨龙,8.26,7.55,东方财富,2026-07-13 17:27:08
54,600206.SH,有研新材,54.0,-10.0,东方财富,2026-07-13 17:27:08
55,002115.SZ,三维通信,11.6,5.94,东方财富,2026-07-13 17:27:08
56,600881.SH,亚泰集团,1.65,10.0,东方财富,2026-07-13 17:27:08
58,600756.SH,浪潮软件,14.85,6.76,东方财富,2026-07-13 17:27:08
59,002759.SZ,天际股份,19.72,-6.45,东方财富,2026-07-13 17:27:08
60,002384.SZ,东山精密,236.7,-2.31,东方财富,2026-07-13 17:27:08
62,002428.SZ,云南锗业,90.23,-10.0,东方财富,2026-07-13 17:27:08
63,002747.SZ,埃斯顿,38.5,-10.0,东方财富,2026-07-13 17:27:08
64,600360.SH,华微电子,17.02,1.37,东方财富,2026-07-13 17:27:08
65,001388.SZ,信通电子,29.49,10.0,东方财富,2026-07-13 17:27:08
66,600183.SH,生益科技,134.45,-10.0,东方财富,2026-07-13 17:27:08
67,000100.SZ,TCL科技,4.81,-6.05,东方财富,2026-07-13 17:27:08
69,002674.SZ,兴业科技,32.96,7.01,东方财富,2026-07-13 17:27:08
70,600488.SH,津药药业,6.07,8.78,东方财富,2026-07-13 17:27:08
71,600703.SH,三安光电,15.73,-7.14,东方财富,2026-07-13 17:27:08
72,000063.SZ,中兴通讯,40.04,-1.21,东方财富,2026-07-13 17:27:08
74,600879.SH,航天电子,21.36,-8.29,东方财富,2026-07-13 17:27:08
75,601002.SH,晋亿实业,4.85,9.98,东方财富,2026-07-13 17:27:08
76,001395.SZ,亚联机械,31.49,9.99,东方财富,2026-07-13 17:27:08
78,601991.SH,大唐发电,5.98,-9.94,东方财富,2026-07-13 17:27:08
79,002463.SZ,沪电股份,124.66,-3.69,东方财富,2026-07-13 17:27:08
81,603949.SH,雪龙集团,16.99,-10.01,东方财富,2026-07-13 17:27:08
82,603677.SH,奇精机械,13.82,10.03,东方财富,2026-07-13 17:27:08
84,600176.SH,中国巨石,50.13,-10.0,东方财富,2026-07-13 17:27:08
85,601138.SH,工业富联,63.08,-4.81,东方财富,2026-07-13 17:27:08
86,603120.SH,肯特催化,55.09,10.0,东方财富,2026-07-13 17:27:08
87,002129.SZ,TCL中环,10.49,-1.59,东方财富,2026-07-13 17:27:08
88,001309.SZ,德明利,719.98,-10.0,东方财富,2026-07-13 17:27:08
89,000636.SZ,风华高科,54.01,-10.0,东方财富,2026-07-13 17:27:08
90,003030.SZ,祖名股份,23.83,10.02,东方财富,2026-07-13 17:27:08
97,000988.SZ,华工科技,154.24,-2.42,东方财富,2026-07-13 17:27:08
98,002636.SZ,金安国纪,86.98,-10.0,东方财富,2026-07-13 17:27:08
99,600428.SH,中远海特,9.82,9.23,东方财富,2026-07-13 17:27:08
100,603881.SH,数据港,26.29,3.83,东方财富,2026-07-13 17:27:08
