rank,code,name,price,change_pct,source,collect_time
1,601991.SH,大唐发电,9.18,9.68,东方财富,2026-06-02 18:59:31
2,600487.SH,亨通光电,83.12,10.01,东方财富,2026-06-02 18:59:31
3,002579.SZ,中京电子,20.76,10.02,东方财富,2026-06-02 18:59:31
4,601138.SH,工业富联,80.01,8.49,东方财富,2026-06-02 18:59:31
5,000636.SZ,风华高科,59.91,8.83,东方财富,2026-06-02 18:59:31
6,002384.SZ,东山精密,210.93,10.0,东方财富,2026-06-02 18:59:31
7,603890.SH,春秋电子,30.02,10.0,东方财富,2026-06-02 18:59:31
8,603678.SH,火炬电子,58.61,10.0,东方财富,2026-06-02 18:59:31
9,600522.SH,中天科技,42.89,8.89,东方财富,2026-06-02 18:59:31
10,600667.SH,太极实业,14.94,10.01,东方财富,2026-06-02 18:59:31
11,600105.SH,永鼎股份,49.62,10.0,东方财富,2026-06-02 18:59:31
12,002421.SZ,达实智能,4.97,9.96,东方财富,2026-06-02 18:59:31
13,603601.SH,再升科技,17.15,-10.02,东方财富,2026-06-02 18:59:31
14,000062.SZ,深圳华强,33.52,10.01,东方财富,2026-06-02 18:59:31
15,000960.SZ,锡业股份,43.19,10.01,东方财富,2026-06-02 18:59:31
16,600362.SH,江西铜业,47.48,10.01,东方财富,2026-06-02 18:59:31
17,600367.SH,红星发展,38.84,10.0,东方财富,2026-06-02 18:59:31
18,601869.SH,长飞光纤,408.74,10.0,东方财富,2026-06-02 18:59:31
19,603267.SH,鸿远电子,78.98,10.0,东方财富,2026-06-02 18:59:31
20,002137.SZ,实益达,9.45,10.01,东方财富,2026-06-02 18:59:31
21,002081.SZ,金 螳 螂,6.85,1.03,东方财富,2026-06-02 18:59:31
22,000725.SZ,京东方Ａ,5.47,2.05,东方财富,2026-06-02 18:59:31
23,000601.SZ,韶能股份,8.99,10.04,东方财富,2026-06-02 18:59:31
24,600301.SH,华锡有色,66.55,10.0,东方财富,2026-06-02 18:59:31
25,600869.SH,远东股份,25.28,10.01,东方财富,2026-06-02 18:59:31
26,600584.SH,长电科技,75.35,-0.4,东方财富,2026-06-02 18:59:31
28,002851.SZ,麦格米特,147.95,10.0,东方财富,2026-06-02 18:59:31
31,600255.SH,鑫科材料,3.99,9.92,东方财富,2026-06-02 18:59:31
32,002951.SZ,金时科技,21.34,10.0,东方财富,2026-06-02 18:59:31
33,603629.SH,利通电子,195.41,-9.81,东方财富,2026-06-02 18:59:31
34,605589.SH,圣泉集团,54.12,10.0,东方财富,2026-06-02 18:59:31
35,002436.SZ,兴森科技,42.22,9.32,东方财富,2026-06-02 18:59:31
36,002975.SZ,博杰股份,148.58,10.0,东方财富,2026-06-02 18:59:31
38,600162.SH,香江控股,3.21,9.93,东方财富,2026-06-02 18:59:31
39,002962.SZ,五方光电,20.9,10.0,东方财富,2026-06-02 18:59:31
41,600121.SH,郑州煤电,5.17,10.0,东方财富,2026-06-02 18:59:31
42,002185.SZ,华天科技,18.33,-0.54,东方财富,2026-06-02 18:59:31
43,002897.SZ,意华股份,88.2,10.0,东方财富,2026-06-02 18:59:31
44,600403.SH,大有能源,6.12,10.07,东方财富,2026-06-02 18:59:31
45,600360.SH,华微电子,12.77,9.99,东方财富,2026-06-02 18:59:31
46,002491.SZ,通鼎互联,25.09,8.15,东方财富,2026-06-02 18:59:31
47,002281.SZ,光迅科技,215.11,5.29,东方财富,2026-06-02 18:59:31
48,600396.SH,华电辽能,19.4,4.86,东方财富,2026-06-02 18:59:31
50,002156.SZ,通富微电,63.84,3.99,东方财富,2026-06-02 18:59:31
51,603330.SH,天洋新材,7.77,10.06,东方财富,2026-06-02 18:59:31
52,600936.SH,北投科技,5.92,10.04,东方财富,2026-06-02 18:59:31
53,600280.SH,中央商场,3.87,9.94,东方财富,2026-06-02 18:59:31
54,002896.SZ,中大力德,81.7,10.0,东方财富,2026-06-02 18:59:31
55,600459.SH,贵研铂业,23.45,9.99,东方财富,2026-06-02 18:59:31
56,002806.SZ,华锋股份,20.33,10.01,东方财富,2026-06-02 18:59:31
57,603256.SH,宏和科技,198.8,9.27,东方财富,2026-06-02 18:59:31
59,002585.SZ,双星新材,11.22,6.15,东方财富,2026-06-02 18:59:31
61,000988.SZ,华工科技,149.25,4.32,东方财富,2026-06-02 18:59:31
62,000767.SZ,晋控电力,6.11,-0.49,东方财富,2026-06-02 18:59:31
63,001210.SZ,金房能源,36.86,10.0,东方财富,2026-06-02 18:59:31
64,603045.SH,福达合金,75.26,10.0,东方财富,2026-06-02 18:59:31
65,603687.SH,大胜达,17.89,10.02,东方财富,2026-06-02 18:59:31
66,000055.SZ,方大集团,4.19,9.97,东方财富,2026-06-02 18:59:31
67,603011.SH,合锻智能,28.99,5.76,东方财富,2026-06-02 18:59:31
68,603618.SH,杭电股份,42.24,9.89,东方财富,2026-06-02 18:59:31
69,603773.SH,沃格光电,122.0,6.56,东方财富,2026-06-02 18:59:31
70,000539.SZ,粤电力Ａ,9.13,-6.55,东方财富,2026-06-02 18:59:31
73,002314.SZ,南山控股,2.62,10.08,东方财富,2026-06-02 18:59:31
74,002957.SZ,科瑞技术,66.69,10.0,东方财富,2026-06-02 18:59:31
75,002463.SZ,沪电股份,131.0,6.93,东方财富,2026-06-02 18:59:31
76,002859.SZ,洁美科技,80.4,7.13,东方财富,2026-06-02 18:59:31
77,000700.SZ,模塑科技,15.07,10.0,东方财富,2026-06-02 18:59:31
78,600345.SH,长江通信,51.73,9.99,东方财富,2026-06-02 18:59:31
79,002575.SZ,群兴玩具,6.23,10.07,东方财富,2026-06-02 18:59:31
80,600011.SH,华能国际,9.09,-6.86,东方财富,2026-06-02 18:59:31
81,002404.SZ,嘉欣丝绸,7.4,9.96,东方财富,2026-06-02 18:59:31
83,601686.SH,友发集团,5.93,10.02,东方财富,2026-06-02 18:59:31
85,002475.SZ,立讯精密,74.0,4.65,东方财富,2026-06-02 18:59:31
89,600114.SH,东睦股份,38.79,10.01,东方财富,2026-06-02 18:59:31
90,002428.SZ,云南锗业,86.37,5.25,东方财富,2026-06-02 18:59:31
91,000586.SZ,汇源通信,16.74,9.99,东方财富,2026-06-02 18:59:31
92,600500.SH,中化国际,6.27,10.0,东方财富,2026-06-02 18:59:31
93,600863.SH,华能蒙电,7.38,-6.82,东方财富,2026-06-02 18:59:31
94,002938.SZ,鹏鼎控股,111.89,8.27,东方财富,2026-06-02 18:59:31
96,603311.SH,金海高科,34.1,10.0,东方财富,2026-06-02 18:59:31
97,601137.SH,XD博威合,21.52,10.02,东方财富,2026-06-02 18:59:31
98,600172.SH,黄河旋风,13.9,3.19,东方财富,2026-06-02 18:59:31
99,603296.SH,华勤技术,124.6,6.46,东方财富,2026-06-02 18:59:31
100,601899.SH,紫金矿业,31.58,4.6,东方财富,2026-06-02 18:59:31
