rank,code,name,price,change_pct,source,collect_time
1,600664.SH,哈药股份,4.94,10.02,东方财富,2026-07-16 16:47:16
2,603127.SH,昭衍新药,53.25,5.2,东方财富,2026-07-16 16:47:16
3,000938.SZ,紫光股份,38.59,8.61,东方财富,2026-07-16 16:47:16
4,603986.SH,兆易创新,514.61,-10.0,东方财富,2026-07-16 16:47:16
5,600436.SH,片仔癀,141.15,10.0,东方财富,2026-07-16 16:47:16
6,002185.SZ,华天科技,20.8,-10.0,东方财富,2026-07-16 16:47:16
7,600584.SH,长电科技,83.21,-10.0,东方财富,2026-07-16 16:47:16
8,000566.SZ,海南海药,5.67,10.1,东方财富,2026-07-16 16:47:16
10,000725.SZ,京东方Ａ,6.05,-5.17,东方财富,2026-07-16 16:47:16
11,002739.SZ,儒意电影,10.32,10.02,东方财富,2026-07-16 16:47:16
12,001309.SZ,德明利,596.16,-10.0,东方财富,2026-07-16 16:47:16
13,000676.SZ,智度股份,6.22,10.09,东方财富,2026-07-16 16:47:16
14,002384.SZ,东山精密,268.8,2.4,东方财富,2026-07-16 16:47:16
15,002156.SZ,通富微电,75.95,-3.51,东方财富,2026-07-16 16:47:16
16,002173.SZ,创新医疗,17.44,10.03,东方财富,2026-07-16 16:47:16
17,603716.SH,塞力医疗,16.12,10.03,东方财富,2026-07-16 16:47:16
18,603538.SH,美诺华,38.35,-1.67,东方财富,2026-07-16 16:47:16
19,002365.SZ,永安药业,13.18,10.02,东方财富,2026-07-16 16:47:16
20,600602.SH,云赛智联,18.26,10.0,东方财富,2026-07-16 16:47:16
21,600162.SH,香江控股,2.78,9.88,东方财富,2026-07-16 16:47:16
22,600487.SH,亨通光电,64.85,-8.73,东方财富,2026-07-16 16:47:16
23,002261.SZ,拓维信息,29.95,6.47,东方财富,2026-07-16 16:47:16
24,002432.SZ,九安医疗,72.0,7.48,东方财富,2026-07-16 16:47:16
27,002632.SZ,道明光学,9.63,10.06,东方财富,2026-07-16 16:47:16
28,603327.SH,福蓉科技,8.57,10.01,东方财富,2026-07-16 16:47:16
29,603567.SH,珍宝岛,5.48,10.04,东方财富,2026-07-16 16:47:16
30,601595.SH,上海电影,18.16,9.99,东方财富,2026-07-16 16:47:16
31,603108.SH,润达医疗,10.31,10.03,东方财富,2026-07-16 16:47:16
32,002466.SZ,天齐锂业,49.34,4.03,东方财富,2026-07-16 16:47:16
35,002747.SZ,埃斯顿,42.43,3.74,东方财富,2026-07-16 16:47:16
36,600203.SH,福日电子,11.92,9.96,东方财富,2026-07-16 16:47:16
37,000063.SZ,中兴通讯,40.0,1.39,东方财富,2026-07-16 16:47:16
38,000988.SZ,华工科技,130.69,-10.0,东方财富,2026-07-16 16:47:16
39,000892.SZ,欢瑞世纪,3.87,9.94,东方财富,2026-07-16 16:47:16
40,600667.SH,太极实业,18.73,-10.0,东方财富,2026-07-16 16:47:16
41,002045.SZ,国光电器,8.34,10.03,东方财富,2026-07-16 16:47:16
42,002881.SZ,美格智能,39.05,10.0,东方财富,2026-07-16 16:47:16
44,000504.SZ,南华生物,9.36,9.99,东方财富,2026-07-16 16:47:16
45,603019.SH,中科曙光,97.66,0.93,东方财富,2026-07-16 16:47:16
46,600519.SH,贵州茅台,1258.99,0.63,东方财富,2026-07-16 16:47:16
47,000829.SZ,天音控股,9.12,10.01,东方财富,2026-07-16 16:47:16
48,000977.SZ,浪潮信息,85.0,0.35,东方财富,2026-07-16 16:47:16
49,603459.SH,红板科技,91.45,7.52,东方财富,2026-07-16 16:47:16
50,600611.SH,大众交通,4.09,9.95,东方财富,2026-07-16 16:47:16
52,000021.SZ,深科技,43.34,-8.29,东方财富,2026-07-16 16:47:16
53,603580.SH,艾艾精工,40.84,9.99,东方财富,2026-07-16 16:47:16
54,002558.SZ,巨人网络,30.28,2.44,东方财富,2026-07-16 16:47:16
55,002354.SZ,天娱数科,7.96,3.51,东方财富,2026-07-16 16:47:16
56,603893.SH,瑞芯微,222.24,5.58,东方财富,2026-07-16 16:47:16
57,603496.SH,恒为科技,25.08,10.0,东方财富,2026-07-16 16:47:16
58,002127.SZ,南极电商,3.23,9.86,东方财富,2026-07-16 16:47:16
59,001258.SZ,立新能源,7.52,9.94,东方财富,2026-07-16 16:47:16
60,600522.SH,中天科技,37.39,-8.13,东方财富,2026-07-16 16:47:16
61,603259.SH,药明康德,127.0,-3.42,东方财富,2026-07-16 16:47:16
