rank,code,name,price,change_pct,source,collect_time
1,000636.SZ,风华高科,55.99,10.0,东方财富,2026-09-11 18:40:37
2,000823.SZ,超声电子,20.57,10.0,东方财富,2026-09-11 18:40:37
3,600869.SH,远东股份,25.35,5.19,东方财富,2026-09-11 18:40:37
4,600410.SH,华胜天成,15.42,9.99,东方财富,2026-09-11 18:40:37
6,002201.SZ,九鼎新材,11.09,10.02,东方财富,2026-09-11 18:40:37
7,600967.SH,内蒙一机,14.98,9.99,东方财富,2026-09-11 18:40:37
8,002636.SZ,金安国纪,82.46,7.86,东方财富,2026-09-11 18:40:37
9,603936.SH,博敏电子,20.88,10.01,东方财富,2026-09-11 18:40:37
10,002585.SZ,双星新材,9.96,10.06,东方财富,2026-09-11 18:40:37
12,600184.SH,光电股份,19.98,10.02,东方财富,2026-09-11 18:40:37
13,002815.SZ,崇达技术,20.08,10.03,东方财富,2026-09-11 18:40:37
14,000993.SZ,闽东电力,13.88,9.98,东方财富,2026-09-11 18:40:37
15,601869.SH,长飞光纤,473.99,8.78,东方财富,2026-09-11 18:40:37
16,002297.SZ,博云新材,23.53,7.44,东方财富,2026-09-11 18:40:37
17,002519.SZ,银河电子,6.31,9.93,东方财富,2026-09-11 18:40:37
18,600237.SH,铜峰电子,9.22,10.02,东方财富,2026-09-11 18:40:37
19,000980.SZ,众泰汽车,2.12,9.84,东方财富,2026-09-11 18:40:37
20,603421.SH,鼎信通讯,8.02,10.01,东方财富,2026-09-11 18:40:37
21,002560.SZ,通达股份,6.88,10.08,东方财富,2026-09-11 18:40:37
22,603466.SH,风语筑,13.27,10.03,东方财富,2026-09-11 18:40:37
23,601086.SH,国芳集团,16.35,8.21,东方财富,2026-09-11 18:40:37
24,600667.SH,太极实业,19.5,-2.4,东方财富,2026-09-11 18:40:37
25,002902.SZ,铭普光磁,30.86,10.02,东方财富,2026-09-11 18:40:37
26,603601.SH,再升科技,10.79,8.33,东方财富,2026-09-11 18:40:37
27,600487.SH,亨通光电,65.24,2.08,东方财富,2026-09-11 18:40:37
29,600522.SH,中天科技,34.49,3.57,东方财富,2026-09-11 18:40:37
30,603386.SH,骏亚科技,16.46,10.03,东方财富,2026-09-11 18:40:37
31,600176.SH,中国巨石,44.66,2.76,东方财富,2026-09-11 18:40:37
32,603938.SH,三孚股份,49.56,10.01,东方财富,2026-09-11 18:40:37
33,002218.SZ,拓日新能,4.41,9.98,东方财富,2026-09-11 18:40:37
34,600876.SH,凯盛新能,8.7,9.99,东方财富,2026-09-11 18:40:37
35,001232.SZ,嘉立创,182.48,10.0,东方财富,2026-09-11 18:40:37
37,600105.SH,永鼎股份,42.2,4.51,东方财富,2026-09-11 18:40:37
38,605258.SH,协和电子,34.77,10.0,东方财富,2026-09-11 18:40:37
40,002912.SZ,中新赛克,23.51,10.01,东方财富,2026-09-11 18:40:37
41,000977.SZ,浪潮信息,70.54,0.16,东方财富,2026-09-11 18:40:37
42,603618.SH,杭电股份,40.71,3.59,东方财富,2026-09-11 18:40:37
43,605006.SH,山东玻纤,18.47,6.64,东方财富,2026-09-11 18:40:37
44,002242.SZ,九阳股份,9.74,10.06,东方财富,2026-09-11 18:40:37
45,600207.SH,安彩高科,4.94,10.02,东方财富,2026-09-11 18:40:37
46,002579.SZ,中京电子,17.08,2.09,东方财富,2026-09-11 18:40:37
47,605058.SH,澳弘电子,33.31,10.01,东方财富,2026-09-11 18:40:37
48,603336.SH,宏辉果蔬,10.09,10.03,东方财富,2026-09-11 18:40:37
49,603693.SH,江苏新能,12.8,9.97,东方财富,2026-09-11 18:40:37
50,600088.SH,中视传媒,13.4,10.02,东方财富,2026-09-11 18:40:37
51,600127.SH,金健米业,13.55,-3.21,东方财富,2026-09-11 18:40:37
52,002161.SZ,远 望 谷,8.04,9.99,东方财富,2026-09-11 18:40:37
53,000759.SZ,中百集团,8.13,-6.44,东方财富,2026-09-11 18:40:37
54,605011.SH,杭州热电,19.03,10.0,东方财富,2026-09-11 18:40:37
55,002848.SZ,高斯贝尔,15.24,10.04,东方财富,2026-09-11 18:40:37
56,603136.SH,天目湖,10.58,9.98,东方财富,2026-09-11 18:40:37
57,601199.SH,江南水务,6.47,10.03,东方财富,2026-09-11 18:40:37
58,000978.SZ,桂林旅游,9.87,1.86,东方财富,2026-09-11 18:40:37
59,605069.SH,正和生态,11.5,10.05,东方财富,2026-09-11 18:40:37
61,600519.SH,贵州茅台,1275.16,-0.78,东方财富,2026-09-11 18:40:37
62,000070.SZ,特发信息,17.16,6.06,东方财富,2026-09-11 18:40:37
63,605088.SH,冠盛股份,22.48,9.98,东方财富,2026-09-11 18:40:37
65,002790.SZ,瑞尔特,9.31,10.05,东方财富,2026-09-11 18:40:37
66,601606.SH,长城军工,36.12,4.73,东方财富,2026-09-11 18:40:37
67,603186.SH,华正新材,227.74,4.47,东方财富,2026-09-11 18:40:37
68,600744.SH,华银电力,7.06,0.86,东方财富,2026-09-11 18:40:37
69,002202.SZ,金风科技,18.6,2.54,东方财富,2026-09-11 18:40:37
70,603439.SH,三力制药,12.54,10.0,东方财富,2026-09-11 18:40:37
72,603002.SH,宏昌电子,17.46,3.87,东方财富,2026-09-11 18:40:37
73,002194.SZ,武汉凡谷,11.46,5.52,东方财富,2026-09-11 18:40:37
74,603678.SH,火炬电子,49.7,6.04,东方财富,2026-09-11 18:40:37
75,600359.SH,新农开发,9.72,0.83,东方财富,2026-09-11 18:40:37
77,600371.SH,万向德农,14.78,4.45,东方财富,2026-09-11 18:40:37
78,002531.SZ,天顺风能,7.22,4.49,东方财富,2026-09-11 18:40:37
81,002487.SZ,大金重工,35.3,5.25,东方财富,2026-09-11 18:40:37
82,600108.SH,亚盛集团,4.73,-9.9,东方财富,2026-09-11 18:40:37
83,600183.SH,生益科技,148.43,1.0,东方财富,2026-09-11 18:40:37
84,000592.SZ,平潭发展,7.75,-6.29,东方财富,2026-09-11 18:40:37
85,600596.SH,新安股份,12.49,3.91,东方财富,2026-09-11 18:40:37
86,002384.SZ,东山精密,194.42,0.35,东方财富,2026-09-11 18:40:37
87,600396.SH,华电辽能,14.6,-5.87,东方财富,2026-09-11 18:40:37
88,603328.SH,依顿电子,12.77,6.59,东方财富,2026-09-11 18:40:37
89,000725.SZ,京东方Ａ,5.33,-2.38,东方财富,2026-09-11 18:40:37
90,603448.SH,C天博,61.75,-5.07,东方财富,2026-09-11 18:40:37
91,000523.SZ,红棉股份,4.01,-10.09,东方财富,2026-09-11 18:40:37
92,605577.SH,龙版传媒,nan,nan,东方财富,2026-09-11 18:40:37
93,002617.SZ,露笑科技,6.64,4.57,东方财富,2026-09-11 18:40:37
94,000722.SZ,湖南发展,15.21,3.19,东方财富,2026-09-11 18:40:37
95,002491.SZ,通鼎互联,21.19,0.81,东方财富,2026-09-11 18:40:37
98,600737.SH,中粮糖业,16.21,-9.03,东方财富,2026-09-11 18:40:37
99,600792.SH,云煤能源,5.15,-4.81,东方财富,2026-09-11 18:40:37
