rank,code,name,price,change_pct,source,collect_time
1,600869.SH,远东股份,24.93,10.02,东方财富,2026-09-09 18:44:30
2,002155.SZ,湖南黄金,28.45,10.02,东方财富,2026-09-09 18:44:30
3,600737.SH,中粮糖业,19.8,9.03,东方财富,2026-09-09 18:44:30
4,601890.SH,亚星锚链,10.08,10.04,东方财富,2026-09-09 18:44:30
5,000523.SZ,红棉股份,4.36,10.1,东方财富,2026-09-09 18:44:30
6,002470.SZ,金正大,2.78,9.88,东方财富,2026-09-09 18:44:30
7,600108.SH,亚盛集团,5.71,8.14,东方财富,2026-09-09 18:44:30
8,002068.SZ,黑猫股份,10.01,10.0,东方财富,2026-09-09 18:44:30
9,000988.SZ,华工科技,108.79,8.22,东方财富,2026-09-09 18:44:30
10,600792.SH,云煤能源,4.92,10.07,东方财富,2026-09-09 18:44:30
11,600487.SH,亨通光电,66.62,5.56,东方财富,2026-09-09 18:44:30
12,000930.SZ,中粮科技,6.41,9.95,东方财富,2026-09-09 18:44:30
13,603042.SH,华脉科技,18.67,10.02,东方财富,2026-09-09 18:44:30
14,002498.SZ,汉缆股份,7.08,9.94,东方财富,2026-09-09 18:44:30
15,600121.SH,郑州煤电,5.7,10.04,东方财富,2026-09-09 18:44:30
16,000759.SZ,中百集团,8.47,10.0,东方财富,2026-09-09 18:44:30
17,600127.SH,金健米业,14.33,-3.11,东方财富,2026-09-09 18:44:30
18,600403.SH,大有能源,7.48,10.0,东方财富,2026-09-09 18:44:30
19,600540.SH,新赛股份,7.21,10.08,东方财富,2026-09-09 18:44:30
20,000980.SZ,众泰汽车,2.02,9.78,东方财富,2026-09-09 18:44:30
21,603618.SH,杭电股份,41.58,3.66,东方财富,2026-09-09 18:44:30
22,600865.SH,百大集团,15.11,9.97,东方财富,2026-09-09 18:44:30
23,600255.SH,鑫科材料,3.89,9.89,东方财富,2026-09-09 18:44:30
24,000978.SZ,桂林旅游,8.81,9.99,东方财富,2026-09-09 18:44:30
25,600359.SH,新农开发,8.76,10.05,东方财富,2026-09-09 18:44:30
26,002077.SZ,大港股份,13.74,10.01,东方财富,2026-09-09 18:44:30
27,002349.SZ,精华制药,9.26,9.98,东方财富,2026-09-09 18:44:30
28,601872.SH,招商轮船,20.99,10.01,东方财富,2026-09-09 18:44:30
29,000912.SZ,泸天化,5.2,9.94,东方财富,2026-09-09 18:44:30
30,603162.SH,海通发展,15.43,9.98,东方财富,2026-09-09 18:44:30
31,002040.SZ,南 京 港,9.98,10.03,东方财富,2026-09-09 18:44:30
32,000798.SZ,中水渔业,12.67,9.98,东方财富,2026-09-09 18:44:30
33,605077.SH,华康股份,13.78,9.98,东方财富,2026-09-09 18:44:30
34,603328.SH,依顿电子,12.1,10.0,东方财富,2026-09-09 18:44:30
35,000993.SZ,闽东电力,11.47,9.97,东方财富,2026-09-09 18:44:30
36,603186.SH,华正新材,212.06,10.0,东方财富,2026-09-09 18:44:30
37,002295.SZ,精艺股份,11.58,9.97,东方财富,2026-09-09 18:44:30
38,600192.SH,长城电工,7.89,10.04,东方财富,2026-09-09 18:44:30
39,002046.SZ,国机精工,59.44,9.99,东方财富,2026-09-09 18:44:30
40,002171.SZ,楚江新材,11.06,7.38,东方财富,2026-09-09 18:44:30
41,000019.SZ,深粮控股,8.46,10.01,东方财富,2026-09-09 18:44:30
42,603650.SH,彤程新材,65.22,10.0,东方财富,2026-09-09 18:44:30
43,002377.SZ,国创高新,3.15,10.14,东方财富,2026-09-09 18:44:30
44,603900.SH,莱绅通灵,7.45,10.04,东方财富,2026-09-09 18:44:30
45,000972.SZ,中基健康,4.37,10.08,东方财富,2026-09-09 18:44:30
46,605162.SH,新中港,11.23,9.99,东方财富,2026-09-09 18:44:30
47,603421.SH,鼎信通讯,6.63,9.95,东方财富,2026-09-09 18:44:30
48,600778.SH,友好集团,6.64,9.93,东方财富,2026-09-09 18:44:30
49,600698.SH,湖南天雁,8.38,9.97,东方财富,2026-09-09 18:44:30
50,002162.SZ,悦心健康,4.51,10.0,东方财富,2026-09-09 18:44:30
51,600722.SH,金牛化工,20.0,1.16,东方财富,2026-09-09 18:44:30
52,600105.SH,永鼎股份,41.48,6.06,东方财富,2026-09-09 18:44:30
53,603308.SH,应流股份,46.3,10.0,东方财富,2026-09-09 18:44:30
54,600354.SH,敦煌种业,10.98,4.77,东方财富,2026-09-09 18:44:30
55,000565.SZ,渝三峡Ａ,7.19,9.94,东方财富,2026-09-09 18:44:30
56,600522.SH,中天科技,34.12,4.95,东方财富,2026-09-09 18:44:30
57,601579.SH,会稽山,25.3,10.0,东方财富,2026-09-09 18:44:30
58,600172.SH,黄河旋风,16.93,2.61,东方财富,2026-09-09 18:44:30
60,002790.SZ,瑞尔特,7.69,10.01,东方财富,2026-09-09 18:44:30
61,000592.SZ,平潭发展,8.06,2.03,东方财富,2026-09-09 18:44:30
62,600396.SH,华电辽能,14.75,5.66,东方财富,2026-09-09 18:44:30
63,002384.SZ,东山精密,196.06,5.17,东方财富,2026-09-09 18:44:30
64,002579.SZ,中京电子,16.81,-1.47,东方财富,2026-09-09 18:44:30
65,600596.SH,新安股份,12.62,4.47,东方财富,2026-09-09 18:44:30
66,601869.SH,长飞光纤,442.03,6.04,东方财富,2026-09-09 18:44:30
68,601118.SH,海南橡胶,8.15,3.56,东方财富,2026-09-09 18:44:30
69,002491.SZ,通鼎互联,22.22,3.59,东方财富,2026-09-09 18:44:30
72,601086.SH,国芳集团,14.88,-0.47,东方财富,2026-09-09 18:44:30
73,605198.SH,安德利,77.0,10.0,东方财富,2026-09-09 18:44:30
74,000737.SZ,北方铜业,16.47,4.84,东方财富,2026-09-09 18:44:30
75,002297.SZ,博云新材,22.5,0.81,东方财富,2026-09-09 18:44:30
76,600967.SH,内蒙一机,14.43,4.04,东方财富,2026-09-09 18:44:30
77,600313.SH,农发种业,8.37,5.15,东方财富,2026-09-09 18:44:30
79,000560.SZ,我爱我家,3.12,-9.3,东方财富,2026-09-09 18:44:30
80,600519.SH,贵州茅台,1290.88,-1.41,东方财富,2026-09-09 18:44:30
81,603938.SH,三孚股份,47.11,6.03,东方财富,2026-09-09 18:44:30
84,000021.SZ,深科技,34.99,0.0,东方财富,2026-09-09 18:44:30
85,600176.SH,中国巨石,42.67,3.09,东方财富,2026-09-09 18:44:30
86,000519.SZ,中兵红箭,16.63,3.55,东方财富,2026-09-09 18:44:30
88,601991.SH,大唐发电,5.83,3.55,东方财富,2026-09-09 18:44:30
89,600691.SH,潞化科技,3.56,5.95,东方财富,2026-09-09 18:44:30
90,600362.SH,江西铜业,49.57,2.14,东方财富,2026-09-09 18:44:30
92,002815.SZ,崇达技术,18.06,5.74,东方财富,2026-09-09 18:44:30
93,000020.SZ,深华发Ａ,14.9,8.76,东方财富,2026-09-09 18:44:30
94,003040.SZ,楚天龙,21.0,-5.62,东方财富,2026-09-09 18:44:30
95,600227.SH,赤天化,4.92,-0.81,东方财富,2026-09-09 18:44:30
96,002172.SZ,澳洋健康,4.88,-4.13,东方财富,2026-09-09 18:44:30
97,601899.SH,紫金矿业,34.4,1.59,东方财富,2026-09-09 18:44:30
98,000735.SZ,罗 牛 山,7.02,3.08,东方财富,2026-09-09 18:44:30
99,002913.SZ,奥士康,71.2,9.93,东方财富,2026-09-09 18:44:30
100,603123.SH,翠微股份,11.05,-10.02,东方财富,2026-09-09 18:44:30
