rank,code,name,price,change_pct,source,collect_time
1,603890.SH,春秋电子,27.29,10.0,东方财富,2026-06-01 20:00:35
2,600011.SH,华能国际,9.76,10.03,东方财富,2026-06-01 20:00:35
3,000539.SZ,粤电力Ａ,9.77,10.02,东方财富,2026-06-01 20:00:35
4,002081.SZ,金 螳 螂,6.78,10.06,东方财富,2026-06-01 20:00:35
5,000767.SZ,晋控电力,6.14,10.04,东方财富,2026-06-01 20:00:35
6,002579.SZ,中京电子,18.87,10.03,东方财富,2026-06-01 20:00:35
8,000681.SZ,视觉中国,22.65,10.0,东方财富,2026-06-01 20:00:35
9,002421.SZ,达实智能,4.52,9.98,东方财富,2026-06-01 20:00:35
10,600584.SH,长电科技,75.65,-7.8,东方财富,2026-06-01 20:00:35
11,601991.SH,大唐发电,8.37,-3.01,东方财富,2026-06-01 20:00:35
12,000725.SZ,京东方Ａ,5.36,4.89,东方财富,2026-06-01 20:00:35
13,603296.SH,华勤技术,117.04,10.0,东方财富,2026-06-01 20:00:35
14,002580.SZ,圣阳股份,26.71,10.01,东方财富,2026-06-01 20:00:35
15,000636.SZ,风华高科,55.05,3.81,东方财富,2026-06-01 20:00:35
16,600121.SH,郑州煤电,4.7,10.07,东方财富,2026-06-01 20:00:35
17,002181.SZ,粤 传 媒,18.16,9.99,东方财富,2026-06-01 20:00:35
18,002608.SZ,江苏国信,10.12,10.0,东方财富,2026-06-01 20:00:35
19,601918.SH,新集能源,11.28,10.05,东方财富,2026-06-01 20:00:35
20,002995.SZ,天地在线,25.11,9.99,东方财富,2026-06-01 20:00:35
22,600588.SH,用友网络,11.41,10.03,东方财富,2026-06-01 20:00:35
23,000722.SZ,湖南发展,16.26,10.01,东方财富,2026-06-01 20:00:35
24,002426.SZ,胜利精密,3.66,9.91,东方财富,2026-06-01 20:00:35
25,600863.SH,华能蒙电,7.92,8.49,东方财富,2026-06-01 20:00:35
26,002279.SZ,久其软件,7.32,10.08,东方财富,2026-06-01 20:00:35
27,000037.SZ,深南电A,12.65,10.0,东方财富,2026-06-01 20:00:35
28,601101.SH,昊华能源,13.27,10.03,东方财富,2026-06-01 20:00:35
29,002384.SZ,东山精密,191.75,-10.0,东方财富,2026-06-01 20:00:35
30,603011.SH,合锻智能,27.41,9.99,东方财富,2026-06-01 20:00:35
31,600797.SH,浙大网新,7.77,10.06,东方财富,2026-06-01 20:00:35
32,600758.SH,辽宁能源,5.16,10.02,东方财富,2026-06-01 20:00:35
33,001314.SZ,亿道信息,64.46,10.0,东方财富,2026-06-01 20:00:35
34,600403.SH,大有能源,5.56,10.1,东方财富,2026-06-01 20:00:35
35,603533.SH,掌阅科技,26.44,9.98,东方财富,2026-06-01 20:00:35
36,600188.SH,兖矿能源,23.98,10.0,东方财富,2026-06-01 20:00:35
38,603598.SH,引力传媒,24.23,9.99,东方财富,2026-06-01 20:00:35
39,603678.SH,火炬电子,53.28,9.99,东方财富,2026-06-01 20:00:35
40,920190.SZ,雷神科技,31.33,30.0,东方财富,2026-06-01 20:00:35
41,603773.SH,沃格光电,114.49,10.0,东方财富,2026-06-01 20:00:35
42,603341.SH,龙旗科技,37.91,10.01,东方财富,2026-06-01 20:00:35
43,601001.SH,晋控煤业,20.2,10.02,东方财富,2026-06-01 20:00:35
44,600546.SH,山煤国际,15.27,10.01,东方财富,2026-06-01 20:00:35
45,600280.SH,中央商场,3.52,10.0,东方财富,2026-06-01 20:00:35
46,600367.SH,红星发展,35.31,10.0,东方财富,2026-06-01 20:00:35
47,601699.SH,潞安环能,17.6,10.0,东方财富,2026-06-01 20:00:35
48,001896.SZ,豫能控股,17.65,7.82,东方财富,2026-06-01 20:00:35
49,600160.SH,巨化股份,36.32,9.99,东方财富,2026-06-01 20:00:35
50,002527.SZ,新时达,15.46,10.04,东方财富,2026-06-01 20:00:35
51,603778.SH,国晟科技,18.39,9.99,东方财富,2026-06-01 20:00:35
53,002185.SZ,华天科技,18.43,-4.71,东方财富,2026-06-01 20:00:35
54,000727.SZ,冠捷科技,3.01,9.85,东方财富,2026-06-01 20:00:35
55,003004.SZ,声迅股份,65.68,10.0,东方财富,2026-06-01 20:00:35
57,600301.SH,华锡有色,60.5,10.0,东方财富,2026-06-01 20:00:35
58,002229.SZ,鸿博股份,14.31,9.99,东方财富,2026-06-01 20:00:35
59,603629.SH,利通电子,216.66,-10.0,东方财富,2026-06-01 20:00:35
60,002613.SZ,北玻股份,4.87,9.93,东方财富,2026-06-01 20:00:35
61,000533.SZ,顺钠股份,12.69,9.97,东方财富,2026-06-01 20:00:35
62,601138.SH,工业富联,73.75,0.48,东方财富,2026-06-01 20:00:35
63,603039.SH,泛微网络,40.3,9.99,东方财富,2026-06-01 20:00:35
