rank,code,name,price,change_pct,source,collect_time
1,601091.SH,N沈鼓,20.8,373.8,东方财富,2026-09-17 19:07:29
2,000981.SZ,山子高科,3.01,9.85,东方财富,2026-09-17 19:07:29
3,600127.SH,金健米业,13.02,9.97,东方财富,2026-09-17 19:07:29
4,000980.SZ,众泰汽车,2.37,10.23,东方财富,2026-09-17 19:07:29
5,000725.SZ,京东方Ａ,5.75,5.5,东方财富,2026-09-17 19:07:29
6,600699.SH,均胜电子,19.87,10.02,东方财富,2026-09-17 19:07:29
7,601218.SH,吉鑫科技,5.74,9.96,东方财富,2026-09-17 19:07:29
8,600176.SH,中国巨石,47.15,-0.51,东方财富,2026-09-17 19:07:29
9,002640.SZ,跨境通,3.77,9.91,东方财富,2026-09-17 19:07:29
10,600487.SH,亨通光电,68.49,4.72,东方财富,2026-09-17 19:07:29
11,600371.SH,万向德农,15.64,9.99,东方财富,2026-09-17 19:07:29
12,605058.SH,澳弘电子,48.76,9.99,东方财富,2026-09-17 19:07:29
13,003026.SZ,中晶科技,37.0,9.99,东方财富,2026-09-17 19:07:29
14,600641.SH,先导基电,36.8,10.01,东方财富,2026-09-17 19:07:29
15,603248.SH,锡华科技,22.34,10.0,东方财富,2026-09-17 19:07:29
16,600354.SH,敦煌种业,9.75,10.05,东方财富,2026-09-17 19:07:29
17,600721.SH,百花医药,11.87,10.01,东方财富,2026-09-17 19:07:29
18,600630.SH,龙头股份,7.54,10.07,东方财富,2026-09-17 19:07:29
19,002339.SZ,积成电子,8.23,10.03,东方财富,2026-09-17 19:07:29
20,600522.SH,中天科技,36.39,3.41,东方财富,2026-09-17 19:07:29
21,600609.SH,金杯汽车,3.58,10.15,东方财富,2026-09-17 19:07:29
22,000993.SZ,闽东电力,17.97,-2.76,东方财富,2026-09-17 19:07:29
23,603230.SH,内蒙新华,12.25,9.96,东方财富,2026-09-17 19:07:29
24,605577.SH,龙版传媒,15.0,9.97,东方财富,2026-09-17 19:07:29
25,600792.SH,云煤能源,5.34,10.1,东方财富,2026-09-17 19:07:29
26,600293.SH,三峡新材,3.4,10.03,东方财富,2026-09-17 19:07:29
27,600105.SH,永鼎股份,45.14,-0.18,东方财富,2026-09-17 19:07:29
28,001216.SZ,华瓷股份,19.88,10.02,东方财富,2026-09-17 19:07:29
29,601872.SH,招商轮船,21.85,10.02,东方财富,2026-09-17 19:07:29
30,000920.SZ,沃顿科技,12.63,10.02,东方财富,2026-09-17 19:07:29
31,002655.SZ,共达电声,40.77,10.01,东方财富,2026-09-17 19:07:29
32,001365.SZ,天海电子,37.51,10.0,东方财富,2026-09-17 19:07:29
33,000868.SZ,安凯客车,4.06,10.03,东方财富,2026-09-17 19:07:29
34,003001.SZ,中岩大地,20.32,10.02,东方财富,2026-09-17 19:07:29
35,603626.SH,科森科技,21.29,10.03,东方财富,2026-09-17 19:07:29
36,002453.SZ,华软科技,4.85,9.98,东方财富,2026-09-17 19:07:29
