rank,code,name,price,change_pct,source,collect_time
1,002384.SZ,东山精密,260.37,10.0,东方财富,2026-07-14 16:42:18
2,002185.SZ,华天科技,25.68,6.42,东方财富,2026-07-14 16:42:18
3,600584.SH,长电科技,102.7,3.69,东方财富,2026-07-14 16:42:18
4,002156.SZ,通富微电,77.87,5.84,东方财富,2026-07-14 16:42:18
5,000725.SZ,京东方Ａ,7.02,2.78,东方财富,2026-07-14 16:42:18
6,000636.SZ,风华高科,59.41,10.0,东方财富,2026-07-14 16:42:18
7,002466.SZ,天齐锂业,47.35,3.81,东方财富,2026-07-14 16:42:18
8,603986.SH,兆易创新,583.99,6.03,东方财富,2026-07-14 16:42:18
9,600664.SH,哈药股份,4.08,9.97,东方财富,2026-07-14 16:42:18
10,600183.SH,生益科技,147.9,10.0,东方财富,2026-07-14 16:42:18
11,002463.SZ,沪电股份,137.13,10.0,东方财富,2026-07-14 16:42:18
12,600118.SH,中国卫星,82.13,-10.0,东方财富,2026-07-14 16:42:18
13,000938.SZ,紫光股份,36.98,-3.7,东方财富,2026-07-14 16:42:18
15,600176.SH,中国巨石,54.52,8.76,东方财富,2026-07-14 16:42:18
16,600487.SH,亨通光电,74.38,6.24,东方财富,2026-07-14 16:42:18
17,601869.SH,长飞光纤,400.18,4.79,东方财富,2026-07-14 16:42:18
19,002636.SZ,金安国纪,95.68,10.0,东方财富,2026-07-14 16:42:18
20,603127.SH,昭衍新药,46.02,7.0,东方财富,2026-07-14 16:42:18
22,001309.SZ,德明利,736.0,2.23,东方财富,2026-07-14 16:42:18
24,603137.SH,恒尚节能,32.37,9.99,东方财富,2026-07-14 16:42:18
25,603629.SH,利通电子,113.0,4.48,东方财富,2026-07-14 16:42:18
26,000021.SZ,深科技,52.51,0.75,东方财富,2026-07-14 16:42:18
27,603065.SH,宿迁联盛,23.54,10.0,东方财富,2026-07-14 16:42:18
28,600522.SH,中天科技,42.85,3.7,东方财富,2026-07-14 16:42:18
30,002281.SZ,光迅科技,232.95,7.85,东方财富,2026-07-14 16:42:18
31,600497.SH,驰宏锌锗,9.79,10.0,东方财富,2026-07-14 16:42:18
33,601899.SH,紫金矿业,29.06,6.21,东方财富,2026-07-14 16:42:18
34,002379.SZ,宏桥控股,17.49,10.0,东方财富,2026-07-14 16:42:18
35,002747.SZ,埃斯顿,38.4,-0.26,东方财富,2026-07-14 16:42:18
36,000977.SZ,浪潮信息,84.95,-0.63,东方财富,2026-07-14 16:42:18
37,603259.SH,药明康德,127.51,6.05,东方财富,2026-07-14 16:42:18
38,600667.SH,太极实业,22.63,-0.44,东方财富,2026-07-14 16:42:18
39,002407.SZ,多氟多,36.08,-2.46,东方财富,2026-07-14 16:42:18
40,002245.SZ,蔚蓝锂芯,20.89,10.01,东方财富,2026-07-14 16:42:18
41,603466.SH,风语筑,11.61,10.05,东方财富,2026-07-14 16:42:18
43,002432.SZ,九安医疗,60.9,10.01,东方财富,2026-07-14 16:42:18
44,603538.SH,美诺华,35.45,7.42,东方财富,2026-07-14 16:42:18
45,000858.SZ,五 粮 液,73.4,0.8,东方财富,2026-07-14 16:42:18
46,601600.SH,中国铝业,8.86,9.25,东方财富,2026-07-14 16:42:18
47,000988.SZ,华工科技,159.84,3.63,东方财富,2026-07-14 16:42:18
48,600105.SH,永鼎股份,48.6,8.14,东方财富,2026-07-14 16:42:18
49,002141.SZ,贤丰控股,5.1,9.91,东方财富,2026-07-14 16:42:18
50,000759.SZ,中百集团,6.75,9.93,东方财富,2026-07-14 16:42:18
51,001388.SZ,信通电子,32.44,10.0,东方财富,2026-07-14 16:42:18
52,600829.SH,人民同泰,8.99,10.04,东方财富,2026-07-14 16:42:18
53,002536.SZ,飞龙股份,54.07,10.01,东方财富,2026-07-14 16:42:18
54,600519.SH,贵州茅台,1214.88,0.32,东方财富,2026-07-14 16:42:18
55,000100.SZ,TCL科技,5.13,6.65,东方财富,2026-07-14 16:42:18
56,002532.SZ,天山铝业,12.25,9.96,东方财富,2026-07-14 16:42:18
57,001389.SZ,广合科技,186.01,10.0,东方财富,2026-07-14 16:42:18
59,603619.SH,中曼石油,20.66,10.01,东方财富,2026-07-14 16:42:18
60,603806.SH,福斯特,14.91,10.04,东方财富,2026-07-14 16:42:18
61,603186.SH,华正新材,177.01,10.0,东方财富,2026-07-14 16:42:18
62,603993.SH,洛阳钼业,18.21,8.01,东方财富,2026-07-14 16:42:18
63,603256.SH,宏和科技,206.05,9.02,东方财富,2026-07-14 16:42:18
64,600595.SH,中孚实业,6.36,10.03,东方财富,2026-07-14 16:42:18
65,601138.SH,工业富联,65.6,3.99,东方财富,2026-07-14 16:42:18
66,603367.SH,辰欣药业,15.1,9.98,东方财富,2026-07-14 16:42:18
67,603019.SH,中科曙光,101.9,-3.99,东方财富,2026-07-14 16:42:18
69,002396.SZ,星网锐捷,28.62,-1.28,东方财富,2026-07-14 16:42:18
70,000968.SZ,蓝焰控股,7.04,10.0,东方财富,2026-07-14 16:42:18
71,603077.SH,和邦生物,2.29,10.1,东方财富,2026-07-14 16:42:18
73,600362.SH,江西铜业,43.85,9.63,东方财富,2026-07-14 16:42:18
74,600206.SH,有研新材,52.63,-2.54,东方财富,2026-07-14 16:42:18
75,600403.SH,大有能源,5.12,10.11,东方财富,2026-07-14 16:42:18
76,000554.SZ,泰山石油,6.44,10.09,东方财富,2026-07-14 16:42:18
77,002484.SZ,江海股份,86.19,10.01,东方财富,2026-07-14 16:42:18
78,002975.SZ,博杰股份,124.52,10.0,东方财富,2026-07-14 16:42:18
79,600879.SH,航天电子,19.31,-9.6,东方财富,2026-07-14 16:42:18
80,002851.SZ,麦格米特,172.16,8.49,东方财富,2026-07-14 16:42:18
81,002938.SZ,鹏鼎控股,105.24,9.28,东方财富,2026-07-14 16:42:18
82,002490.SZ,山东墨龙,9.05,9.56,东方财富,2026-07-14 16:42:18
83,000657.SZ,中钨高新,74.79,7.83,东方财富,2026-07-14 16:42:18
84,600255.SH,鑫科材料,3.08,10.0,东方财富,2026-07-14 16:42:18
86,000703.SZ,恒逸石化,14.54,9.98,东方财富,2026-07-14 16:42:18
87,603989.SH,艾华集团,37.92,10.01,东方财富,2026-07-14 16:42:18
88,601101.SH,昊华能源,11.83,10.05,东方财富,2026-07-14 16:42:18
89,603083.SH,剑桥科技,200.23,8.05,东方财富,2026-07-14 16:42:18
90,000066.SZ,中国长城,16.83,-6.76,东方财富,2026-07-14 16:42:18
91,600703.SH,三安光电,14.97,-4.83,东方财富,2026-07-14 16:42:18
92,601628.SH,中国人寿,38.72,2.62,东方财富,2026-07-14 16:42:18
93,002162.SZ,悦心健康,3.82,10.09,东方财富,2026-07-14 16:42:18
94,601969.SH,海南矿业,8.57,10.01,东方财富,2026-07-14 16:42:18
95,002250.SZ,联化科技,15.09,9.99,东方财富,2026-07-14 16:42:18
97,000063.SZ,中兴通讯,39.91,-0.32,东方财富,2026-07-14 16:42:18
99,002261.SZ,拓维信息,30.59,-7.3,东方财富,2026-07-14 16:42:18
100,002436.SZ,兴森科技,40.85,6.1,东方财富,2026-07-14 16:42:18
