rank,code,name,price,change_pct,source,collect_time
2,600664.SH,哈药股份,9.08,10.06,东方财富,2026-09-22 19:00:21
3,600825.SH,新华传媒,6.42,9.93,东方财富,2026-09-22 19:00:21
4,000066.SZ,中国长城,15.87,6.94,东方财富,2026-09-22 19:00:21
5,600721.SH,百花医药,14.47,10.04,东方财富,2026-09-22 19:00:21
6,600418.SH,江淮汽车,21.32,10.01,东方财富,2026-09-22 19:00:21
7,000676.SZ,智度股份,7.45,10.04,东方财富,2026-09-22 19:00:21
8,001216.SZ,华瓷股份,26.47,10.02,东方财富,2026-09-22 19:00:21
9,603636.SH,南威软件,8.01,10.03,东方财富,2026-09-22 19:00:21
10,600127.SH,金健米业,16.47,4.57,东方财富,2026-09-22 19:00:21
11,000756.SZ,新华制药,16.14,10.02,东方财富,2026-09-22 19:00:21
12,603598.SH,引力传媒,18.96,9.98,东方财富,2026-09-22 19:00:21
13,000560.SZ,我爱我家,3.51,10.03,东方财富,2026-09-22 19:00:21
14,002467.SZ,二六三,5.09,9.94,东方财富,2026-09-22 19:00:21
15,002757.SZ,南兴股份,19.86,10.03,东方财富,2026-09-22 19:00:21
16,601949.SH,中国出版,6.62,9.97,东方财富,2026-09-22 19:00:21
17,600479.SH,千金药业,13.57,9.97,东方财富,2026-09-22 19:00:21
18,603230.SH,内蒙新华,16.31,9.98,东方财富,2026-09-22 19:00:21
19,601811.SH,新华文轩,16.82,10.01,东方财富,2026-09-22 19:00:21
20,002141.SZ,贤丰控股,7.43,10.07,东方财富,2026-09-22 19:00:21
22,000607.SZ,华媒控股,4.98,9.93,东方财富,2026-09-22 19:00:21
23,002178.SZ,延华智能,5.59,10.04,东方财富,2026-09-22 19:00:21
24,603068.SH,博通集成,48.17,10.0,东方财富,2026-09-22 19:00:21
25,000504.SZ,南华生物,12.11,9.99,东方财富,2026-09-22 19:00:21
26,920229.SZ,N世纪,132.0,742.37,东方财富,2026-09-22 19:00:21
27,600641.SH,先导基电,43.74,10.01,东方财富,2026-09-22 19:00:21
28,605058.SH,澳弘电子,53.27,9.99,东方财富,2026-09-22 19:00:21
29,000993.SZ,闽东电力,20.91,2.35,东方财富,2026-09-22 19:00:21
30,000910.SZ,大亚圣象,6.89,10.06,东方财富,2026-09-22 19:00:21
31,002185.SZ,华天科技,18.28,-1.46,东方财富,2026-09-22 19:00:21
32,600403.SH,大有能源,7.6,9.99,东方财富,2026-09-22 19:00:21
33,605179.SH,一鸣食品,30.04,10.0,东方财富,2026-09-22 19:00:21
34,001317.SZ,三羊马,65.96,10.01,东方财富,2026-09-22 19:00:21
35,002912.SZ,中新赛克,26.38,10.01,东方财富,2026-09-22 19:00:21
36,002313.SZ,日海智能,9.3,10.06,东方财富,2026-09-22 19:00:21
37,600770.SH,综艺股份,6.63,9.95,东方财富,2026-09-22 19:00:21
38,600503.SH,华丽家族,2.67,9.88,东方财富,2026-09-22 19:00:21
41,002614.SZ,奥佳华,6.88,10.08,东方财富,2026-09-22 19:00:21
42,002301.SZ,齐心集团,9.27,9.96,东方财富,2026-09-22 19:00:21
43,002290.SZ,禾盛新材,77.85,10.0,东方财富,2026-09-22 19:00:21
44,002303.SZ,美盈森,6.9,10.05,东方财富,2026-09-22 19:00:21
45,603039.SH,泛微网络,39.7,10.0,东方财富,2026-09-22 19:00:21
46,002564.SZ,天沃科技,5.45,10.1,东方财富,2026-09-22 19:00:21
47,002238.SZ,天威视讯,6.96,9.95,东方财富,2026-09-22 19:00:21
48,603893.SH,瑞芯微,217.8,10.0,东方财富,2026-09-22 19:00:21
49,600722.SH,金牛化工,18.08,8.65,东方财富,2026-09-22 19:00:21
50,600487.SH,亨通光电,73.0,1.74,东方财富,2026-09-22 19:00:21
51,000595.SZ,新能股份,5.85,9.96,东方财富,2026-09-22 19:00:21
52,603221.SH,爱丽家居,33.55,10.0,东方财富,2026-09-22 19:00:21
53,603020.SH,爱普股份,13.83,10.02,东方财富,2026-09-22 19:00:21
54,603580.SH,艾艾精工,78.68,10.0,东方财富,2026-09-22 19:00:21
55,001266.SZ,宏英智能,37.75,9.99,东方财富,2026-09-22 19:00:21
56,000002.SZ,万  科Ａ,3.81,4.38,东方财富,2026-09-22 19:00:21
57,600743.SH,华远控股,2.56,9.87,东方财富,2026-09-22 19:00:21
58,002768.SZ,国恩股份,74.86,10.01,东方财富,2026-09-22 19:00:21
59,002672.SZ,东江环保,4.03,10.11,东方财富,2026-09-22 19:00:21
60,002636.SZ,金安国纪,85.58,5.16,东方财富,2026-09-22 19:00:21
61,605398.SH,新炬网络,23.63,10.01,东方财富,2026-09-22 19:00:21
62,605258.SH,协和电子,42.16,9.99,东方财富,2026-09-22 19:00:21
63,001234.SZ,泰慕士,29.25,10.0,东方财富,2026-09-22 19:00:21
64,605218.SH,伟时电子,15.94,10.01,东方财富,2026-09-22 19:00:21
65,001322.SZ,箭牌家居,6.95,9.97,东方财富,2026-09-22 19:00:21
66,002259.SZ,升达林业,4.97,9.96,东方财富,2026-09-22 19:00:21
67,603903.SH,中持股份,15.27,10.01,东方财富,2026-09-22 19:00:21
69,605178.SH,时空科技,74.79,10.0,东方财富,2026-09-22 19:00:21
70,603216.SH,梦天家居,22.75,10.01,东方财富,2026-09-22 19:00:21
71,600815.SH,厦工股份,4.19,9.97,东方财富,2026-09-22 19:00:21
72,001268.SZ,联合精密,26.57,10.02,东方财富,2026-09-22 19:00:21
73,001260.SZ,坤泰股份,20.28,9.98,东方财富,2026-09-22 19:00:21
74,600630.SH,龙头股份,9.48,3.95,东方财富,2026-09-22 19:00:21
76,601086.SH,国芳集团,18.16,2.77,东方财富,2026-09-22 19:00:21
77,002585.SZ,双星新材,11.9,-6.37,东方财富,2026-09-22 19:00:21
78,601995.SH,中金公司,nan,nan,东方财富,2026-09-22 19:00:21
79,603256.SH,宏和科技,159.22,6.92,东方财富,2026-09-22 19:00:21
80,000823.SZ,超声电子,25.22,0.08,东方财富,2026-09-22 19:00:21
81,603986.SH,兆易创新,402.1,2.65,东方财富,2026-09-22 19:00:21
82,600186.SH,莲花控股,12.93,3.44,东方财富,2026-09-22 19:00:21
83,605577.SH,龙版传媒,17.69,6.82,东方财富,2026-09-22 19:00:21
84,002156.SZ,通富微电,63.52,3.82,东方财富,2026-09-22 19:00:21
85,002354.SZ,天娱数科,8.11,2.4,东方财富,2026-09-22 19:00:21
86,000725.SZ,京东方Ａ,6.0,-1.15,东方财富,2026-09-22 19:00:21
87,002080.SZ,中材科技,62.5,-5.65,东方财富,2026-09-22 19:00:21
88,002131.SZ,利欧股份,4.66,3.33,东方财富,2026-09-22 19:00:21
90,601579.SH,会稽山,37.46,3.71,东方财富,2026-09-22 19:00:21
91,600519.SH,贵州茅台,1253.8,0.1,东方财富,2026-09-22 19:00:21
93,002453.SZ,华软科技,5.31,-9.54,东方财富,2026-09-22 19:00:21
95,600522.SH,中天科技,36.88,-0.19,东方财富,2026-09-22 19:00:21
